enlil
an
enki
utu
shamash
nanna
enzu
zuen
suen
sin
nergal
nabu
marduk
inanna
ishatar
ninurta
ningirsu
abzu
anshar
kishar
ki
nammu
tiamat
ashur
dagan
dagon
dumuzid
tammuz
ereshkigal
geshtinanna
gilgamesh
gula
nintinugga
ninkarrak
meme
bau
ninisina
ishkur
adad
istaran
nanshe
ninazu
ningal
nikkal
ningishzida
ninhursag
damgalnuna
ninmah
ninlil
ninshubur
nisaba
amaarhus
amasagnul
amashilama
antu
anunitu
asarluhi
ashgi
ashnan
aruru
bel
beletseri
birtum
bull
bunene
damu
dingirma
dumuziabzu
emesh
enkimdu
enmesharra
ennugi
enten
enzag
erra
erragal
errakal
gareus
gatumdug
gibil
gugalanna
gunura
hahanu
hanbi
hani
haya
hayasum
hegirnuna
gangir
hendursag
igalima
ilaba
ilabrat
imdugud
ishara
isimud
ishum
kakka
kittu
kus
lahar
lahmu
lamashtu
lisin
lugalb
lugalirra
meslamtaea
lulal
mami
mama
anu
martu
misharu
nanaya
neti
ningikuga
ninimma
nindara
ningilin
ningirima
ninkasi
ninkurra
ninmena
ninmug
ninnisig
ninsar
ninsianna
ninsikila
ninsun
nintu
nirah
numushda
nungal
nusku
pabilshag
pazuzu
sarratderi
shara
sherida
shullat
shulpae
shulutula
sirtur
sulsagana
siduri
silili
sumugan
tashmetu
uras
uttu
zababa
